k,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,0.167529983861799,2.0610538510515406,216.8427968270697
3,0.16754097426443662,1.9831496313706227,194.92914170691495
4,0.14424728437688583,2.092900776849345,164.59559271749356
5,0.16530440349156444,1.8623794288628175,145.484460327979
