cluster_k2,n,mean_adoption_tier,pct_female,pct_rural,pct_mobile_phone,pct_internet_use,pct_of_sample
0,516,1.355,12.8,40.9,98.3,73.6,51.6
1,484,0.231,89.7,51.4,35.699999999999996,11.600000000000001,48.4
