classified_correctly,female,age,educ,inc_q,in_workforce,is_rural,con1,internet_use,merchantpay_dig,fin17b,fin17c,borrowed,fin22a_1,fin24a,fin24b
False,0.129,38.129,1.258,3.323,0.806,0.387,0.935,0.419,0.0,0.032,0.161,0.806,0.0,1.452,1.774
True,0.693,33.843,1.357,3.129,0.286,0.514,0.493,0.207,0.0,0.0,0.093,0.621,0.0,1.057,1.664
